ts,load1,cpu_pct,mem_used_mb,mem_avail_mb,swap_used_mb,claude_mb,node_mb,chromium_mb
1789439968,0.45,1,2430,13338,0,0,0,0
1789439973,0.42,0,2433,13335,0,0,0,0
1789439978,0.38,1,2454,13313,0,0,0,0
1789439983,0.35,15,2774,12994,0,0,279,0
1789439988,0.32,3,2784,12984,0,0,279,0
1789439993,1.50,30,3411,12357,0,0,363,1237
1789439998,1.46,10,3504,12264,0,0,406,1579
1789440003,1.42,60,3896,11872,0,0,384,1975
1789440009,1.95,30,3979,11789,0,0,358,2401
1789440014,1.87,9,3946,11822,0,0,359,2651
1789440019,1.72,9,3936,11832,0,0,359,2781
1789440024,1.66,14,4141,11627,0,481,336,2779
1789440029,1.53,23,4646,11122,0,736,336,2788
1789440034,1.89,54,4663,11105,0,747,336,2772
1789440039,1.74,11,4555,11213,0,770,337,2749
1789440044,1.60,7,4463,11305,0,764,337,2759
1789440049,1.47,7,4373,11394,0,767,337,2767
1789440054,1.35,8,4296,11472,0,774,337,2770
1789440059,1.24,6,4248,11520,0,777,337,2778
1789440064,1.14,42,4376,11392,0,782,337,2781
1789440069,1.05,36,4605,11163,0,764,739,2777
1789440074,1.29,40,4660,11108,0,710,337,2777
1789440079,1.27,53,5107,10661,0,749,337,2775
1789440085,1.48,32,4806,10962,0,765,337,2768
1789440090,1.37,8,4625,11143,0,803,337,2763
1789440095,1.58,8,4466,11302,0,790,337,2764
1789440100,1.45,8,4365,11403,0,788,337,2762
1789440105,1.45,9,4218,11550,0,791,337,2761
1789440110,1.34,6,4164,11604,0,796,337,2761
1789440115,1.23,10,4168,11600,0,797,337,2760
1789440120,1.21,26,4222,11546,0,799,486,2674
1789440125,1.11,19,4127,11641,0,802,337,2674
1789440130,1.27,38,4540,11228,0,806,797,2669
1789440135,1.57,52,4565,11203,0,810,960,2669
1789440140,1.52,35,4343,11425,0,543,541,2669
1789440145,1.40,18,4102,11666,0,796,338,2668
1789440150,1.29,7,4074,11694,0,808,338,2668
1789440155,1.26,47,4213,11555,0,804,338,2670
1789440161,1.16,29,4398,11370,0,812,338,2670
1789440166,1.07,15,4068,11700,0,723,367,2670
1789440171,1.06,35,4328,11440,0,764,525,2670
1789440176,0.98,14,4028,11740,0,526,338,2670
1789440181,0.90,6,3931,11837,0,529,338,2670
1789440186,0.91,35,4105,11663,0,539,510,2670
1789440191,0.99,34,3874,11894,0,520,338,2666
1789440196,0.91,3,3549,12219,0,0,338,2666
1789440201,0.84,1,3515,12253,0,0,338,2663
1789440206,0.77,0,3513,12255,0,0,339,2663
