ts,load1,cpu_pct,mem_used_mb,mem_avail_mb,swap_used_mb,claude_mb,node_mb,chromium_mb
1789440851,0.18,0,2389,13379,0,0,0,0
1789440856,0.17,1,2389,13379,0,0,0,0
1789440861,0.15,2,2395,13373,0,0,0,0
1789440866,0.14,9,2598,13170,0,0,186,0
1789440871,0.13,3,2599,13169,0,0,186,0
1789440876,0.28,31,3257,12511,0,0,268,1235
1789440881,0.34,27,3305,12463,0,0,268,1575
1789440886,1.19,63,3998,11770,0,0,246,2132
1789440891,1.42,69,4352,11416,0,0,244,2546
1789440896,1.46,76,4777,10990,0,0,244,2999
1789440901,1.67,93,4991,10777,0,0,244,3818
1789440906,2.57,98,4968,10800,0,0,220,4492
1789440912,3.33,94,5222,10546,0,0,220,5098
1789440917,3.70,88,5317,10451,0,0,220,5231
1789440922,3.89,85,5621,10147,0,0,220,6044
1789440927,4.62,80,5958,9810,0,0,220,6598
1789440932,5.05,87,6923,8845,0,0,220,7065
1789440938,4.64,56,7097,8671,0,0,220,7256
1789440943,4.27,52,7025,8743,0,0,220,7546
1789440948,4.65,53,6643,9125,0,226,221,7705
1789440953,4.36,36,6402,9366,0,488,221,7636
1789440958,4.09,41,6764,9004,0,500,221,7582
1789440963,3.84,41,6526,9242,0,532,221,7550
1789440968,3.53,28,6285,9483,0,531,221,7489
1789440973,3.25,25,6123,9645,0,535,221,7449
1789440978,2.99,26,6040,9728,0,532,271,7396
1789440983,3.07,36,6049,9719,0,532,221,7372
1789440988,3.63,32,6180,9588,0,526,221,7352
1789440993,3.98,56,6242,9526,0,527,221,7334
1789440998,4.30,32,6171,9597,0,504,221,7334
1789441003,4.27,46,6265,9503,0,515,221,7289
1789441008,4.41,23,6002,9766,0,537,221,7305
1789441014,4.62,25,5909,9859,0,525,221,7280
1789441019,4.73,21,5875,9893,0,529,221,7285
1789441024,4.35,22,5815,9953,0,519,221,7292
1789441029,4.08,28,5800,9968,0,523,221,7273
1789441034,3.92,53,5988,9780,0,527,328,7242
1789441039,3.92,58,5895,9873,0,530,221,7228
1789441044,3.61,38,5989,9779,0,532,470,7235
1789441049,3.40,48,6125,9643,0,536,627,7238
1789441054,3.29,42,5960,9808,0,539,221,7245
1789441059,3.02,37,5876,9892,0,543,221,7248
1789441064,2.78,44,5892,9876,0,517,221,7249
1789441069,2.64,25,5811,9957,0,493,222,7258
1789441074,2.43,25,5804,9964,0,519,222,7254
1789441080,2.23,25,5802,9966,0,534,222,7269
1789441085,2.05,37,5885,9883,0,541,222,7274
1789441090,2.21,38,6009,9759,0,525,389,7268
1789441095,2.43,27,5845,9923,0,529,222,7271
1789441100,2.32,21,5698,10070,0,264,341,7264
1789441105,2.21,28,5660,10108,0,265,222,7263
1789441110,2.02,19,5600,10167,0,265,222,7229
1789441115,1.86,18,5587,10181,0,265,222,7237
1789441120,1.71,26,5582,10186,0,266,222,7235
1789441125,1.57,39,5652,10116,0,269,222,7226
1789441130,1.44,38,5657,10111,0,268,222,7149
1789441135,1.41,27,5454,10314,0,238,222,7116
1789441140,1.38,34,6013,9754,0,493,222,7126
1789441145,1.27,46,6067,9701,0,502,222,7135
1789441151,1.24,20,5961,9807,0,515,222,7139
1789441156,1.14,20,5821,9947,0,512,222,7121
1789441161,1.05,29,5757,10011,0,513,222,7126
1789441166,0.97,26,5696,10072,0,516,222,7115
1789441171,1.29,26,5713,10055,0,520,322,7113
1789441176,1.35,53,5601,10167,0,435,222,7116
1789441181,1.40,40,5843,9925,0,493,223,7120
1789441186,1.29,42,5894,9874,0,519,223,7121
1789441191,1.75,19,5821,9947,0,534,223,7129
1789441196,2.01,22,5733,10035,0,532,223,7137
1789441201,2.33,26,6001,9767,0,536,223,7148
1789441206,2.54,36,5887,9881,0,533,223,7140
1789441211,2.90,22,5824,9944,0,534,223,7155
1789441216,3.07,28,5734,10034,0,535,223,7148
1789441222,2.82,24,5712,10055,0,536,223,7160
1789441227,2.59,21,5711,10057,0,538,257,7166
1789441232,2.39,30,5761,10007,0,539,223,7162
1789441237,2.28,25,5839,9929,0,543,429,7199
1789441242,2.09,38,5924,9843,0,547,339,7205
1789441247,1.92,30,5800,9968,0,551,223,7191
1789441252,1.77,33,5887,9881,0,553,361,7181
1789441257,1.63,35,5839,9928,0,551,293,7185
1789441262,1.50,52,5844,9924,0,551,301,7191
1789441267,1.70,46,6011,9757,0,554,223,7192
1789441272,1.56,31,5818,9950,0,521,223,7192
1789441277,1.44,26,5744,10024,0,492,223,7184
1789441282,1.32,20,5758,10010,0,521,223,7190
1789441287,1.22,19,5660,10108,0,531,223,7110
