ts,load1,cpu_pct,mem_used_mb,mem_avail_mb,swap_used_mb,claude_mb,node_mb,chromium_mb
1789439697,0.14,1,2430,13338,0,0,0,0
1789439702,0.13,1,2433,13335,0,0,0,0
1789439707,0.12,1,2440,13327,0,0,0,0
1789439712,0.11,10,2673,13095,0,0,186,0
1789439717,0.10,3,2669,13099,0,0,186,0
1789439722,0.09,32,3257,12511,0,0,269,1236
1789439727,0.40,43,3523,12245,0,0,269,1781
1789439732,0.37,36,3665,12103,0,0,220,2085
1789439737,0.34,20,3792,11976,0,238,218,2272
1789439742,0.39,13,4002,11766,0,485,218,2274
1789439747,0.52,37,4407,11361,0,493,218,2282
1789439753,0.48,7,4176,11592,0,523,218,2283
1789439758,0.44,6,4053,11715,0,527,218,2282
1789439763,0.49,7,3945,11823,0,523,218,2249
1789439768,0.53,6,3911,11857,0,516,218,2251
1789439773,0.49,22,4044,11724,0,518,219,2256
1789439778,0.45,28,4070,11698,0,502,219,2263
1789439783,0.49,32,4395,11373,0,490,219,2266
1789439788,0.45,8,4191,11577,0,531,219,2272
1789439793,0.42,6,4079,11689,0,524,219,2272
1789439798,0.38,6,3965,11803,0,529,219,2269
1789439803,0.35,6,3947,11821,0,521,219,2265
1789439808,0.32,17,4357,11411,0,516,219,2265
1789439813,0.38,16,4102,11666,0,520,219,2260
1789439818,0.35,6,4029,11739,0,522,219,2258
1789439823,0.40,4,3946,11822,0,524,219,2256
1789439828,0.37,4,3929,11839,0,527,219,2256
1789439834,0.66,23,4025,11743,0,530,219,2256
1789439839,0.61,16,3969,11799,0,533,311,2256
1789439844,0.96,21,3938,11829,0,535,219,2256
1789439849,0.88,15,4275,11493,0,537,261,2256
1789439854,0.97,22,4138,11630,0,538,219,2257
1789439859,0.89,4,4019,11749,0,540,219,2257
1789439864,0.90,4,3925,11843,0,541,219,2257
1789439869,0.83,5,3885,11883,0,535,219,2257
1789439874,0.76,22,4056,11712,0,536,219,2257
1789439879,0.70,23,3868,11900,0,537,219,2168
1789439884,0.72,5,3699,12069,0,397,219,2168
1789439889,0.83,9,3803,11965,0,515,219,2168
1789439894,0.76,4,3812,11956,0,532,220,2168
1789439899,0.70,15,3831,11937,0,532,250,2168
1789439904,0.88,23,3837,11931,0,539,220,2168
1789439909,0.81,45,4194,11574,0,534,341,2168
1789439915,0.91,29,3945,11823,0,539,220,2170
1789439920,0.84,10,3689,12079,0,249,220,2170
1789439925,0.77,3,3638,12130,0,252,220,2166
1789439930,0.72,3,3624,12144,0,263,220,2166
1789439935,0.67,3,3632,12136,0,268,220,2166
1789439940,0.69,11,3841,11927,0,262,541,2166
1789439945,0.64,22,3710,12058,0,264,220,2166
1789439950,0.59,2,3533,12235,0,0,220,2166
1789439955,0.54,0,3457,12311,0,0,220,2166
1789439960,0.49,0,3451,12317,0,0,220,2166
