ts,load1,cpu_pct,mem_used_mb,mem_avail_mb,swap_used_mb,top_proc
1789437291,0.17,0,2336,13432,0,firefox-bin
1789437296,0.16,0,2336,13431,0,firefox-bin
1789437301,0.15,1,2363,13405,0,firefox-bin
1789437306,0.14,6,2504,13264,0,firefox-bin
1789437311,0.20,9,2515,13253,0,firefox-bin
1789437316,0.19,3,2527,13241,0,firefox-bin
1789437321,0.17,4,2511,13257,0,firefox-bin
1789437326,0.16,2,2504,13264,0,firefox-bin
1789437331,0.15,2,2508,13260,0,firefox-bin
1789437336,0.13,3,2512,13256,0,firefox-bin
1789437341,0.12,2,2513,13255,0,firefox-bin
1789437346,0.11,2,2513,13255,0,firefox-bin
1789437351,0.10,2,2513,13255,0,firefox-bin
1789437356,0.10,2,2516,13252,0,firefox-bin
1789437361,0.17,9,2633,13135,0,firefox-bin
1789437366,0.23,26,2869,12898,0,firefox-bin
1789437371,0.46,31,2781,12987,0,firefox-bin
1789437376,0.42,2,2491,13277,0,firefox-bin
1789437381,0.39,0,2437,13331,0,firefox-bin
1789437386,0.35,0,2368,13400,0,firefox-bin
