ts,load1,cpu_pct,mem_used_mb,mem_avail_mb,swap_used_mb,claude_mb,node_mb,chromium_mb
1789439476,0.42,0,2446,13322,0,0,0,0
1789439481,0.39,1,2447,13321,0,0,0,0
1789439486,0.36,1,2459,13309,0,0,0,0
1789439491,0.33,4,2551,13216,0,0,93,0
1789439496,0.30,1,2540,13228,0,0,93,0
1789439501,0.60,36,3274,12494,0,0,139,1425
1789439506,0.95,44,3543,12225,0,172,139,1722
1789439512,0.87,9,3571,12197,0,249,139,1723
1789439517,0.89,9,3847,11921,0,249,139,1674
1789439522,0.89,11,3830,11938,0,249,139,1679
1789439527,0.82,9,3570,12198,0,258,139,1686
1789439532,0.76,5,3446,12322,0,252,113,1676
1789439537,0.70,3,3382,12385,0,255,113,1671
1789439542,0.64,3,3392,12376,0,258,113,1677
1789439547,0.59,3,3399,12369,0,258,114,1684
1789439552,0.54,14,3589,12179,0,259,319,1690
1789439557,0.66,14,3424,12343,0,250,114,1696
1789439562,0.61,22,3835,11932,0,250,114,1719
1789439567,0.96,22,3684,12084,0,252,114,1721
1789439572,0.96,4,3617,12151,0,263,114,1720
1789439577,0.88,2,3537,12231,0,264,114,1719
1789439582,0.81,3,3478,12290,0,266,114,1719
1789439587,0.75,3,3442,12326,0,259,114,1719
1789439592,0.69,3,3436,12331,0,259,114,1717
1789439598,0.63,4,3432,12336,0,259,114,1714
1789439603,0.58,8,3459,12309,0,261,114,1716
1789439608,0.53,5,3535,12233,0,262,307,1715
1789439613,0.49,10,3475,12293,0,263,114,1717
1789439618,0.53,15,3506,12262,0,266,192,1717
1789439623,0.49,19,3491,12277,0,266,114,1717
1789439628,0.45,2,3429,12339,0,267,114,1716
1789439633,0.41,2,3424,12344,0,270,114,1716
1789439638,0.38,21,3470,12298,0,272,114,1716
1789439643,0.35,21,3497,12271,0,273,114,1716
1789439648,0.32,13,3555,12213,0,222,114,1716
1789439653,0.30,8,3403,12365,0,249,114,1716
1789439658,0.27,3,3394,12374,0,247,114,1716
1789439663,0.25,3,3402,12366,0,259,114,1716
1789439668,0.23,9,3580,12188,0,263,405,1716
1789439673,0.21,25,3540,12228,0,268,114,1717
1789439678,0.19,4,3331,12437,0,0,114,1717
1789439684,0.18,0,3188,12580,0,0,114,1630
1789439689,0.16,1,3168,12600,0,0,114,1630
